Unnamee: 0,lnd,lnT,lnR,L,dq,conv_vel,h1,he3,he4,c12,n14,o16,ne20,mg24
23,-1.9702694490637991e+01,1.0565769184040758e+01,2.6568658294625087e+01,7.7444237689828723e+37,2.9748272364710111e-12,2.8501139978274117e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
24,-1.9671687977813885e+01,1.0579175596159591e+01,2.6568596639641310e+01,7.7444237689828474e+37,2.9748272364710111e-12,3.0990701636120672e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
25,-1.9642229947479147e+01,1.0592032886665001e+01,2.6568536856140831e+01,7.7444237689828252e+37,2.9748272364709915e-12,3.2403672515422070e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
26,-1.9614051276980422e+01,1.0604357522548450e+01,2.6568478797796384e+01,7.7444237689828003e+37,2.9748272364709853e-12,3.2660100729604968e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
27,-1.9587773011502452e+01,1.0615810281071427e+01,2.6568422342927218e+01,7.7444237689827764e+37,2.7926949566870731e-12,3.2075569869956299e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
28,-1.9563208087502804e+01,1.0626468153157413e+01,2.6568370710675695e+01,7.7444237689827533e+37,2.7926949566870669e-12,3.1008932062608489e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
29,-1.9528058723187527e+01,1.0641797800191847e+01,2.6568320323604819e+01,7.7444237689827302e+37,5.5853899133744242e-12,2.9487462414136928e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
30,-1.9483046942439724e+01,1.0660779760239402e+01,2.6568223008523168e+01,7.7444237689826831e+37,5.5853899133741080e-12,2.5703203243350261e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
31,-1.9450573583137796e+01,1.0674050038265796e+01,2.6568129950076122e+01,7.7444237689826334e+37,2.7926949566870602e-12,2.1550543721936108e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
32,-1.9429756041631502e+01,1.0682572769181368e+01,2.6568084898210893e+01,7.7444237689826076e+37,2.7926949566870473e-12,1.9377175103402281e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
